Descriptores,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<P>,2019<P>
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Aparatos y películas fotográficas,NA,-23.377,-31.638,-2.479,-7.627,56.881,0.585,5.814,0,5.495,4.688,-2.488
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Equipo de audio y de video,NA,-24.742,-35.526,15.531,-1.883,86.282,1.467,3.837,0.24,6.601,6.932,-1.051
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Equipo de transmisión y recepción de señales de radio, televisión y comunicación inalámbrica",NA,17.684,-6.942,-70.853,11.231,83.883,-17.212,2.487,1.68,-3.856,1.528,1.693
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Instrumentos musicales,NA,-5.666,-1.948,0.481,-4.286,2.848,3.149,-0.635,7.899,6.632,5.736,-2.984
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Libros, periódicos y revistas",NA,-1.876,-6.003,-3.78,-9.445,-3.407,1.712,-1.071,-0.871,-4.966,-6.347,-5.433
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Ropa artística, típica y otros",NA,-6.836,3.453,-4.729,3.796,-9.564,-1.866,-1.743,-0.645,1.299,-5.609,-4.414
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios,NA,-1.427,-0.229,1.218,1.26,0.947,-0.677,1.448,1.303,0.932,2.026,-0.496
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Bibliotecas,NA,0.106,0,2.654,0.931,1.947,3.618,0.097,2.132,1.139,1.126,0.464
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Cantantes, grupos musicales, artistas, escritores y técnicos independientes",NA,0.702,0.986,0.977,1.332,1.133,0.729,1.022,1.121,1.069,0.939,0.972
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Cine,NA,-1.103,-0.8,4.842,-0.416,12.119,0.965,5.526,8.674,6.791,0.914,7.429
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Compañías de teatro, danza y grupos de espectáculos artísticos",NA,0.748,0.99,0.858,0.972,4.573,0.921,1.026,0.79,0.896,0.999,0.989
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Edición de libros, periódicos, revistas y otros materiales",NA,-3.615,-1.141,1.559,0.574,-1.192,-3.978,-3.597,-4.061,-2.45,-2.788,-3.376
